date,htime,after_auth,close_coindesk,ret_coindesk,vol,fret,flow,flow_scaled,netflow_lsg,netflow_plbt,netflow_oth_noplbt,price_dist,round_prc_dist,below_cutoff,in_bandwidth,inst,lag_ret,vol,vol_x_lagret,hour_of_day,day_of_week,lag_ret_eth,lag_ret_xrp,lag_ret_neg,netflow_bitt,netflow_huob,netflow_krak,netflow_aggplbt,lag_ret_neg
2017-06-12,2017-06-12 10:00:00,0,2730.6287,-0.0852196,0.044982348,98.66004,321.15228,3.2115228,180.39528,140.757,31.683151,-14.98999,-15.0,1.0,1,0.0,0.002809385,0.044982348,0.00012637273,10,0,0.032093257,-0.01275295,1,-0.8987803,0.0,31.683151,321.15228,1
2017-06-12,2017-06-12 11:00:00,0,2764.8613,0.012536551,0.091597594,65.92372,305.2436,3.0524359,257.62073,47.62287,29.832115,230.62866,235.0,,0,,-0.0852196,0.091597594,-0.0078059104,11,0,-0.10481832,-0.061065238,0,4.3893127,0.0,29.832117,305.2436,0
2017-06-12,2017-06-12 12:00:00,0,2817.6113,0.019078715,0.09138507,-17.448997,433.0702,4.330702,395.6438,37.42637,12.539822,-235.13867,-235.0,,0,,0.012536551,0.09138507,0.0011456535,12,0,0.05797236,0.011135351,0,10.823702,13.78975,-1.2499269,433.0702,0
2017-06-12,2017-06-12 13:00:00,0,2811.9275,-0.002017254,0.09754664,-156.13104,494.37067,4.9437065,410.6736,83.697075,1.8294754,-182.38867,-185.0,,0,,0.019078715,0.09754664,0.0018610645,13,0,0.049346678,0.021785947,1,6.7383547,-1.99995,3.8294299,494.37067,1
2017-06-12,2017-06-12 14:00:00,0,2819.5637,0.002715657,0.09728191,-265.85828,36.080276,0.36080277,88.94362,-52.86335,78.74965,-188.07251,-185.0,,0,,-0.002017254,0.09728191,-0.00019624233,14,0,0.019366797,-0.012027532,0,0.6544014,0.0,78.74965,36.080276,0
2017-06-12,2017-06-12 15:00:00,0,2802.835,-0.005933102,0.097805135,-210.11928,265.31104,2.6531103,230.41042,34.90061,-25.851364,-180.43628,-185.0,,0,,0.002715657,0.097805135,0.0002656052,15,0,-0.017569419,0.011897253,1,16.373913,0.0,-25.851366,265.31104,1
2017-06-12,2017-06-12 16:00:00,0,2680.57,-0.043621868,0.094346136,-98.518456,65.234024,0.65234023,51.858906,13.375114,-52.946804,-197.16504,-195.0,,0,,-0.005933102,0.094346136,-0.00055976526,16,0,-0.021005297,-0.003945161,1,3.6807349,9.57645,-62.523254,65.234024,1
2017-06-12,2017-06-12 17:00:00,0,2599.61,-0.030202515,0.09769353,89.56482,464.9864,4.6498637,449.14346,15.842932,67.43276,180.57007,185.0,,0,,-0.043621868,0.09769353,-0.0042615742,17,0,-0.038399156,-0.014156804,1,4.0366073,9.64125,57.79151,464.9864,1
2017-06-12,2017-06-12 18:00:00,0,2627.6562,0.010788595,0.10451247,91.18414,668.68475,6.6868477,463.3452,205.33952,9.479141,99.61011,95.0,,0,,-0.030202515,0.10451247,-0.0031565395,18,0,-0.047688637,-0.046779945,0,9.652761,6.98425,2.494875,668.68475,0
2017-06-12,2017-06-12 19:00:00,0,2601.0076,-0.010141617,0.106762886,62.57236,247.98276,2.4798276,238.68785,9.294907,27.807266,127.65625,125.0,,0,,0.010788595,0.106762886,0.0011518216,19,0,-0.008498598,0.023619737,1,1.3204726,25.0,2.8072648,247.98276,1
2017-06-12,2017-06-12 20:00:00,0,2669.2124,0.026222467,0.107926644,15.055398,47.21777,0.47217768,34.299103,12.918668,-27.00087,101.00757,105.0,,0,,-0.010141617,0.107926644,-0.0010945507,20,0,-0.011339279,-0.037955042,0,1.2057335,0.0,-27.00087,47.21777,0
2017-06-12,2017-06-12 21:00:00,0,2699.3062,0.011274393,0.10791754,25.674784,87.59153,0.8759153,68.7345,18.857037,11.371559,169.2124,165.0,,0,,0.026222467,0.10791754,0.0028298642,21,0,0.06866551,0.03381638,0,16.891691,0.0,11.371558,87.59153,0
2017-06-12,2017-06-12 22:00:00,0,2648.7612,-0.018725153,0.14371987,56.0471,411.08588,4.110859,393.44693,17.638945,59.608665,199.30615,195.0,,0,,0.011274393,0.14371987,0.0016203542,22,0,0.027802803,0.013280883,1,3.3760364,0.0,59.608665,411.08588,1
2017-06-12,2017-06-12 23:00:00,0,2680.46,0.01196738,0.1451769,13.912424,624.8942,6.2489424,612.656,12.2382345,2.085,148.76123,145.0,,0,,-0.018725153,0.1451769,-0.0027184598,23,0,0.007262844,-0.012378633,0,-1.4414545,9.7215,-7.6365,624.8942,0
2017-06-13,2017-06-13 00:00:00,0,2719.22,0.014460209,0.14664325,-29.055477,323.2134,3.232134,309.57507,13.638348,2.8590298,180.45996,185.0,,0,,0.01196738,0.14664325,0.0017549355,0,1,0.052731838,0.0105267605,0,-0.26676086,0.0,2.85903,323.2134,0
2017-06-13,2017-06-13 01:00:00,0,2693.0789,-0.00961346,0.14709415,10.152561,52.684658,0.5268466,68.02448,-15.339823,5.3522797,219.21997,215.0,,0,,0.014460209,0.14709415,0.002127012,1,1,-0.004936686,0.016821383,1,0.25561783,23.9827,-18.63042,52.684658,1
2017-06-13,2017-06-13 02:00:00,0,2691.2664,-0.00067302154,0.14771987,41.997658,138.85797,1.3885797,124.646034,14.21194,0.6900301,193.07886,195.0,,0,,-0.00961346,0.14771987,-0.001420099,2,1,-0.017091319,-0.016224183,1,6.5288424,0.0,0.69003,138.85797,1
2017-06-13,2017-06-13 03:00:00,0,2695.4912,0.0015698385,0.14778374,95.59851,1.1480865,0.011480865,-4.1977634,5.345849,0.9370003,191.26636,195.0,,0,,-0.00067302154,0.14778374,-9.946164e-05,3,1,-0.032504473,0.006240084,0,4.7536955,0.0,0.937,1.1480865,0
2017-06-13,2017-06-13 04:00:00,0,2701.2837,0.0021489516,0.14766195,86.52274,26.876816,0.26876816,19.995615,6.8812065,-94.00429,195.49121,195.0,,0,,0.0015698385,0.14766195,0.00023180542,4,1,0.015760345,0.00777191,0,2.6482494,0.0,-94.00393,26.876816,0
2017-06-13,2017-06-13 05:00:00,0,2725.2725,0.008880507,0.14882104,72.53688,-107.012085,-1.0701208,-108.832436,1.8203532,-94.86267,201.28369,205.0,,0,,0.0021489516,0.14882104,0.00031980922,5,1,0.0030654622,-0.000839076,0,1.0808748,0.0,-94.86267,-107.012085,0
2017-06-13,2017-06-13 06:00:00,0,2773.3738,0.017650096,0.14881645,-31.4442,-81.91465,-0.8191465,-84.44911,2.5344658,-6.4087505,225.27246,225.0,,0,,0.008880507,0.14881645,0.0013215656,6,1,0.0016085092,0.013397278,0,-2.196803,18.33075,-24.7395,-81.91465,0
2017-06-13,2017-06-13 07:00:00,0,2771.7825,-0.0005737808,0.15129039,-47.164146,12.3269005,0.12326901,-48.835686,61.162582,18.49157,-226.62622,-225.0,,0,,0.017650096,0.15129039,0.0026702897,7,1,-0.0074139205,0.019810546,1,1.2419721,17.7267,1.764822,12.3269005,1
2017-06-13,2017-06-13 08:00:00,0,2784.7676,0.00468475,0.15132923,-62.517902,-321.22934,-3.2122934,-259.40176,-61.82758,-6.1882515,-228.21753,-225.0,,0,,-0.0005737808,0.15132923,-8.682981e-05,8,1,-0.0022920482,-3.8633923e-05,0,1.4134946,2.9965,-9.18475,-321.22934,0
2017-06-13,2017-06-13 09:00:00,0,2747.05,-0.013544229,0.14975512,-0.41832837,-161.34227,-1.6134228,-88.0875,-73.254776,4.348526,-215.23242,-215.0,,0,,0.00468475,0.14975512,0.0007015653,9,1,-0.010810811,-0.0027862478,1,7.2450275,2.74825,1.6002749,-161.34227,1
2017-06-13,2017-06-13 10:00:00,0,2732.5188,-0.005289765,0.15124252,38.939163,-0.06637347,-0.0006637347,0.83913946,-0.9055128,-16.467922,247.05005,245.0,,0,,-0.013544229,0.15124252,-0.0020484633,10,1,-0.040628403,-0.0074120103,1,4.5836425,1.65745,-18.125374,-0.06637347,1
2017-06-13,2017-06-13 11:00:00,0,2732.7336,7.8624806e-05,0.12839866,8.560429,-81.7303,-0.817303,22.794266,-104.52457,-14.278366,232.5188,235.0,,0,,-0.005289765,0.12839866,-0.0006791987,11,1,0.04177935,-0.026507206,0,6.0436034,10.03935,-24.317717,-81.7303,0
2017-06-13,2017-06-13 12:00:00,0,2746.6313,0.005085642,0.12844153,9.594752,138.471,1.38471,150.53102,-12.060025,14.438726,232.73364,235.0,,0,,7.8624806e-05,0.12844153,1.009869e-05,12,1,-0.021323094,0.012008002,0,12.680903,0.0,14.438726,138.471,0
2017-06-13,2017-06-13 13:00:00,0,2764.5325,0.006517483,0.12500022,-3.130713,223.96576,2.2396576,210.40262,13.563138,12.604863,246.63135,245.0,,0,,0.005085642,0.12500022,0.0006357064,13,1,0.016787738,0.004325648,0,7.892122,0.0,12.604863,223.96576,0
2017-06-13,2017-06-13 14:00:00,0,2739.555,-0.009034996,0.12495747,14.797358,74.32474,0.7432474,36.5679,37.756836,13.015808,-235.46753,-235.0,,0,,0.006517483,0.12495747,0.0008144082,14,1,0.014862238,0.008218719,1,26.47663,7.6851997,5.3306074,74.32474,1
2017-06-13,2017-06-13 15:00:00,0,2754.3374,0.0053959386,0.123976626,-23.953861,21.709915,0.21709915,2.1605122,19.549402,7.627743,239.55493,235.0,,0,,-0.009034996,0.123976626,-0.0011201283,15,1,-0.0006226273,-0.008465326,0,11.125118,0.00695,7.620793,21.709915,0
2017-06-13,2017-06-13 16:00:00,0,2761.7737,0.0026998434,0.12378252,-38.019714,64.92127,0.6492127,29.237312,35.68396,10.274437,-245.6626,-245.0,,0,,0.0053959386,0.12378252,0.0006679229,16,1,0.022021195,0.0010276501,0,18.181274,0.0,10.274434,64.92127,0
2017-06-13,2017-06-13 17:00:00,0,2751.675,-0.003656575,0.12001401,-33.82138,-157.1442,-1.571442,-191.48332,34.339127,27.741455,-238.22632,-235.0,,0,,0.0026998434,0.12001401,0.00032401903,17,1,0.007102705,0.014767484,1,19.043844,25.6479,2.093555,-157.1442,1
2017-06-13,2017-06-13 18:00:00,0,2734.5337,-0.0062294267,0.11044958,-4.800688,0.56284106,0.0056284107,-23.59526,24.158104,15.828072,-248.32495,-245.0,,0,,-0.003656575,0.11044958,-0.0004038672,18,1,0.0025262933,-0.01163427,1,10.695052,0.0,15.828072,0.56284106,1
2017-06-13,2017-06-13 19:00:00,0,2730.3774,-0.0015199118,0.11035168,-6.720203,-125.453255,-1.2545326,-143.9163,18.463064,-22.62948,234.53369,235.0,,0,,-0.0062294267,0.11035168,-0.0006874277,19,1,0.0053549153,-0.0039762245,1,4.5085597,0.0,-22.62948,-125.453255,1
2017-06-13,2017-06-13 20:00:00,0,2723.8325,-0.0023970758,0.10583168,18.212957,59.94223,0.5994223,45.671177,14.271051,8.836632,230.37744,235.0,,0,,-0.0015199118,0.10583168,-0.00016085482,20,1,0.017989594,0.0058498546,1,3.3491025,-0.95207274,9.788705,59.94223,1
2017-06-13,2017-06-13 21:00:00,0,2730.5789,0.0024767814,0.10508924,34.136578,29.9408,0.299408,3.7058592,26.23494,-42.340885,223.83252,225.0,,0,,-0.0023970758,0.10508924,-0.00025190687,21,1,-0.0023596743,0.012103153,0,11.358912,0.0,-42.340885,29.9408,0
2017-06-13,2017-06-13 22:00:00,0,2724.8562,-0.0020957666,0.060554445,80.931786,19.849892,0.19849892,-0.09823099,19.948124,97.525085,230.57886,235.0,,0,,0.0024767814,0.060554445,0.00014998011,22,1,-0.010155057,0.0439509,1,-5.290168,0.0,97.52509,19.849892,1
2017-06-13,2017-06-13 23:00:00,0,2738.7063,0.0050828727,0.054001573,67.76648,68.6016,0.686016,53.938274,14.663328,-33.06584,224.8562,225.0,,0,,-0.0020957666,0.054001573,-0.00011317469,23,1,-0.02083006,-0.0398319,0,5.769477,0.0,-32.931335,68.6016,0
2017-06-14,2017-06-14 00:00:00,0,2758.5725,0.007253867,0.05194379,25.718214,61.201817,0.61201817,125.19905,-63.99724,-13.580467,238.7063,235.0,,0,,0.0050828727,0.05194379,0.00026402366,0,2,0.015119396,0.017236678,0,5.965951,0.0,-13.58047,61.201817,0
2017-06-14,2017-06-14 01:00:00,0,2791.5176,0.0119427955,0.05031917,-14.050699,72.97506,0.7297506,54.029,18.94606,25.214535,-241.42749,-245.0,,0,,0.007253867,0.05031917,0.00036500857,1,2,-5.231129e-05,0.0014469934,0,5.6662965,25.0,0.214535,72.97506,0
2017-06-14,2017-06-14 02:00:00,0,2794.6812,0.0011332812,0.045423906,16.954823,13.673408,0.13673407,0.0,13.673408,0.14750004,-208.48242,-205.0,,0,,0.0119427955,0.045423906,0.0005424884,2,2,-0.0042332895,0.017908702,0,7.348017,0.0,0.14750001,13.673408,0
2017-06-14,2017-06-14 03:00:00,0,2779.7,-0.0053606117,0.04551463,22.01966,75.12757,0.7512757,67.32423,7.8033404,6.1593366,-205.31885,-205.0,,0,,0.0011332812,0.04551463,5.158087e-05,3,2,-0.007951501,-0.016622439,1,3.9804838,-0.31416273,6.4735,75.12757,1
2017-06-14,2017-06-14 04:00:00,0,2779.7336,1.2120519e-05,0.04506268,-13.511042,31.641907,0.31641906,16.260954,15.380953,0.9090004,-220.30005,-225.0,,0,,-0.0053606117,0.04506268,-0.00024156352,4,2,0.00521123,-0.008356785,0,4.249884,0.0,0.909,31.641907,0
2017-06-14,2017-06-14 05:00:00,0,2808.74,0.010434938,0.04263627,-47.03855,17.635073,0.17635073,0.13992302,17.49515,4.447529,-220.26636,-225.0,,0,,1.2120519e-05,0.04263627,5.1677375e-07,5,2,0.003157927,0.011414977,0,3.0023215,0.0,4.4475303,17.635073,0
2017-06-14,2017-06-14 06:00:00,0,2797.9512,-0.0038411596,0.04236623,-28.641933,2.8496737,0.028496737,-0.24656348,3.0962377,-117.38937,-191.26001,-195.0,,0,,0.010434938,0.04236623,0.00044208896,6,2,-0.0057712807,0.00037879334,1,1.7034429,0.0,-117.339424,2.8496737,1
2017-06-14,2017-06-14 07:00:00,0,2768.1611,-0.01064709,0.035997573,18.124565,21.685604,0.21685605,0.0,21.685604,-26.72007,-202.04883,-205.0,,0,,-0.0038411596,0.035997573,-0.00013827243,7,2,-0.0035620213,-0.009275456,1,16.35912,0.0,-26.72007,21.685604,1
2017-06-14,2017-06-14 08:00:00,0,2769.2039,0.00037668494,0.040380985,-5.6901603,140.53806,1.4053806,121.764984,18.773079,-26.18877,-231.83887,-235.0,,0,,-0.01064709,0.040380985,-0.00042993997,8,2,-0.02023033,-0.008445074,0,14.440279,0.0,-26.188772,140.53806,0
2017-06-14,2017-06-14 09:00:00,0,2773.85,0.0016778252,0.040667273,-21.85022,52.70965,0.5270965,37.452217,15.257432,-34.68093,-230.79614,-235.0,,0,,0.00037668494,0.040667273,1.531875e-05,9,2,-0.002621554,-0.00208104,0,11.353263,0.9621,-35.643032,52.70965,0
2017-06-14,2017-06-14 10:00:00,0,2783.2336,0.0033828595,0.03487597,-157.84958,16.181227,0.16181226,12.873714,3.3075123,-0.5727804,-226.1499,-225.0,,0,,0.0016778252,0.03487597,5.8515783e-05,10,2,0.013982234,0.030084185,0,0.83511615,-1.7784745,1.2056941,16.181227,0
