depvar,bandwidth,time,coef,se,t_stat,n_obs,method,path,pvalue,ci_lower,ci_upper,ci_width,auto_bw
securitized,auto,1,-0.05467175741627103,0.025910944644609496,-2.109987040848583,20360,sl,rdflex,0.03485947212495446,-0.10543161890497199,-0.0038924767280773334,0.10153914217689466,
securitized,0.01,2,0.14021202444765238,0.03206841333751172,4.372278196989582,13410,nocov,rdflex,1.2295670868531883e-05,0.07732842726881989,0.2030130226123228,0.1256845953435029,
securitized,0.01,2,0.10797481556644824,0.03104398338824393,3.4781237386996318,13410,ridge,rdflex,0.0005049367756458681,0.047211814114251516,0.16873781701864496,0.12152600290439344,
securitized,0.01,2,0.11235387950188176,0.030977770423108196,3.626919496377641,13410,lasso,rdflex,0.00028682266958349493,0.05160528071762221,0.1731024782861413,0.1214971975685191,
securitized,0.01,2,0.11113439631026885,0.030958040596214025,3.589839478531464,13410,rf,rdflex,0.0003308816576601235,0.05040709410725526,0.17176115613781737,0.12135406203056211,
securitized,0.01,2,0.12048381733159647,0.030918726398260727,3.896791083166157,13410,lgbm,rdflex,9.747563476362991e-05,0.059645657117498245,0.18087764661027025,0.121231989492772,
securitized,0.01,2,0.11201740359568632,0.030825253622811008,3.6339491303582423,13410,xgb,rdflex,0.0002791159163173381,0.05141764578845612,0.17261716140291652,0.1211995156144604,
securitized,0.01,2,0.11833336356857115,0.031078448977460166,3.8075697939235362,13410,nnet,rdflex,0.00014033913834875822,0.057441275043476805,0.17923865718225224,0.12179738213877543,
securitized,0.01,2,0.12314105743746334,0.03119508373128856,3.947450774557572,13410,sl,rdflex,7.898775184382252e-05,0.0619998168294264,0.18428229804550028,0.12228248121607388,
securitized,0.02,2,0.14025069836162163,0.032045023262960576,4.376676440854116,13410,nocov,rdflex,1.2050265046658396e-05,0.07748526279562988,0.20301613392761336,0.12553087113198347,
securitized,0.02,2,0.10675578936392581,0.03108703989649945,3.4340931050159917,13410,ridge,rdflex,0.0005945399440937766,0.045833569943719184,0.16767800878413244,0.12184443884041327,
securitized,0.02,2,0.11248153033134548,0.031134116860054895,3.612806197039088,13410,lasso,rdflex,0.00030290109646073855,0.051657189663828984,0.17330587099886197,0.12164868133503298,
securitized,0.02,2,0.11138372367787083,0.03089593573199363,3.6051254328099147,13410,rf,rdflex,0.00031200219757949327,0.050520924676738806,0.17214845862163555,0.12162753394489675,
securitized,0.02,2,0.1202374906893624,0.030849282793841932,3.897578154178805,13410,lgbm,rdflex,9.71594714823733e-05,0.05977400746454104,0.18070097391418377,0.12092696644964274,
securitized,0.02,2,0.11344880865256496,0.030755017389339,3.688790261971731,13410,xgb,rdflex,0.00022532286669896595,0.05317273032921518,0.17372488697591473,0.12055215664669955,
securitized,0.02,2,0.12054882691460378,0.031231705914611812,3.859822042516249,13410,nnet,rdflex,0.00011346962856955256,0.05963039973659639,0.18146725409261116,0.12183685435601477,
securitized,0.02,2,0.12242893502949917,0.031070782919103836,3.940323465561078,13410,sl,rdflex,8.137181363293223e-05,0.06129882775532894,0.1835590423036694,0.12226021454834046,
securitized,0.03,2,0.14048445402492232,0.032067993453737904,4.38083081897808,13410,nocov,rdflex,1.1822764339629947e-05,0.07761105760431192,0.20335785044553273,0.1257467928412208,
securitized,0.03,2,0.1066306137159859,0.031142308666463968,3.4239790908890635,13410,ridge,rdflex,0.0006171136889464267,0.04559281033428692,0.16766841709768487,0.12207560676339796,
securitized,0.03,2,0.11249903840239711,0.03102570385963178,3.625994720744178,13410,lasso,rdflex,0.00028785123460710755,0.051717117572044335,0.17329302180702258,0.12157590423497824,
securitized,0.03,2,0.11324005610584029,0.030911853775902783,3.6633214211862035,13410,rf,rdflex,0.0002489658078363778,0.052653936009702355,0.1738261762019782,0.12117224019227585,
securitized,0.03,2,0.11951400873030069,0.030857711976901653,3.8730677381317884,13410,lgbm,rdflex,0.00010747394087158113,0.058899992275045,0.18012698410843409,0.12122699183338909,
securitized,0.03,2,0.11528210731100608,0.030707804134843468,3.7541631698828644,13410,xgb,rdflex,0.00017392154547188777,0.054911657012825646,0.17522943640885813,0.12031777939603248,
securitized,0.03,2,0.1193915609311004,0.031232414316304673,3.8226811325556995,13410,nnet,rdflex,0.0001320084414871467,0.05840536930794893,0.18037775255425187,0.12197238324630294,
