"depvar","bandwidth","time","method","coef","se","t_stat","pvalue","ci_lower","ci_upper","ci_width","n_obs"
"originated","auto",3,"rdrobust",0.0895405514815828,0.0303439231752821,2.9508561224714,0.00361596294862873,0.0288234246547935,0.1477694178012,0.118945993146406,4015
"originated","0.01",4,"rdrobust",0.0498307459752146,0.0636930261561305,0.782357959457989,0.0783010193949565,-0.0126961740972364,0.23697590056753,0.249672074664767,1363
"originated","0.02",4,"rdrobust",0.0291854053832012,0.0453184729847958,0.64400681357893,0.369788047531864,-0.0481777754314495,0.129467374337653,0.177645149769102,2734
"originated","0.03",4,"rdrobust",0.0191762542442775,0.0371165169330207,0.516650155478823,0.27130683187627,-0.0319167133346777,0.113577359505905,0.145494072840583,3072
"originated","0.04",4,"rdrobust",0.0127120547793743,0.0352264570223165,0.360866685267867,0.470860398891625,-0.0436414993608084,0.0944436747725682,0.138085174133377,3360
"originated","0.05",4,"rdrobust",-0.00119234607577257,0.0333871122831048,-0.0357127644242518,0.522930606955636,-0.0441086986940759,0.0867663765512846,0.130875075245361,3886
"originated","0.1",4,"rdrobust",-0.0108234445956185,0.0240852679231521,-0.449380286329071,0.987625771670172,-0.046832709222167,0.0475798061525847,0.0944125153747517,5605
"originated","0.15",4,"rdrobust",-0.0147670311516355,0.0205142819313775,-0.71984148414421,0.681480991770791,-0.0486271976412346,0.0317873098671667,0.0804145075084012,7347
"originated","0.2",4,"rdrobust",-0.0176584877991846,0.0185953155833768,-0.949620226664522,0.548207743954558,-0.0476116678275728,0.025280629821577,0.0728922976491498,9196
"originated","auto",4,"rdrobust",-0.00307047130851001,0.0242297775591595,-0.126723049809811,0.945275702211762,-0.0458263449387529,0.049152637799986,0.0949789827387389,4425
"securitized","0.01",1,"rdrobust",-0.103226916337688,0.0673848668455547,-1.53190057604897,0.0051334986632733,-0.320650828490472,-0.0565070042498435,0.264143824240629,2416
"securitized","0.02",1,"rdrobust",-0.0584736920869453,0.0364333693214442,-1.60494879216478,0.00542588689196683,-0.172714648019678,-0.0298984646087237,0.142816183410954,3158
"securitized","0.03",1,"rdrobust",-0.0389766929956065,0.0299020655854131,-1.30347827926042,0.0191809133507698,-0.1286374937591,-0.0114235505375712,0.117213943221529,4151
"securitized","0.04",1,"rdrobust",-0.0301981707353934,0.0273811752386716,-1.10288073730097,0.0272987529253033,-0.114102371498856,-0.00677013685450299,0.107332234644353,4966
"securitized","0.05",1,"rdrobust",-0.0286602878442378,0.0252316777988147,-1.13588513902093,0.118784396189645,-0.0888119798282806,0.0100943796821106,0.0989063595103912,6101
"securitized","0.1",1,"rdrobust",-0.0380798858043181,0.0204235885828349,-1.86450513580765,0.191105081924843,-0.06672960207256,0.0133293940422797,0.0800589961148397,10530
"securitized","0.15",1,"rdrobust",-0.043414708604184,0.0177660569036895,-2.44368848076626,0.0378279316822615,-0.0717158569311145,-0.00207419357407315,0.0696416633570413,15497
"securitized","0.2",1,"rdrobust",-0.0458706223869248,0.0158456590679148,-2.89483840276522,0.0139553223038875,-0.0700120692981331,-0.00789822712930598,0.0621138421688271,20360
"securitized","auto",1,"rdrobust",-0.052267611878879,0.0284993701749714,-1.83399182360813,0.0211326886394259,-0.121566042243324,-0.00985056399328615,0.111715478250038,3539
"securitized","0.01",2,"rdrobust",0.123752893193555,0.0836425170949752,1.47954530173972,0.0240783127296626,0.0247509396132992,0.352623581778153,0.327872642164854,1975
"securitized","0.02",2,"rdrobust",0.107985659352288,0.0481620045694301,2.24213382141552,0.0739685775636702,-0.00833955470472694,0.180452034053946,0.188791588758673,2432
