depvar,bandwidth,time,method,coef,se,t_stat,pvalue,ci_lower,ci_upper,ci_width,n_obs,bw_type
originated,0.03203135025319552,2,ridge,0.0799590026504268,0.024127707407274917,3.313990894398769,0.0009197450235701641,0.03264151234091297,0.12725299383981686,0.09461148149890389,19944,auto
originated,,2,lasso,,,,,,,,19944,auto
originated,0.07170433939778292,2,rf,0.02858425035658774,0.01761993353855294,1.622267773828122,0.10474602569362358,-0.006313076473035858,0.0639243474633176,0.07023742393635346,19944,auto
originated,0.06017131742652971,2,lgbm,0.035837569966252036,0.01948213994542224,1.8395089074736304,0.06584036897405963,-0.0027515605445098956,0.07428719479242873,0.07703875533693863,19944,auto
originated,0.06651297778201366,2,xgb,0.041975950529407675,0.018898257322624866,2.2211545653553117,0.026340494328662256,0.003890264366246475,0.07749641571599444,0.07360615134974796,19944,auto
originated,0.03191885503700711,2,nnet,0.09922225088638054,0.025015016504141604,3.9665075123957174,7.293347785268541e-05,0.05075038491087548,0.14788220650719375,0.09713182159631827,19944,auto
originated,,2,sl,,,,,,,,19944,auto
originated,0.03561530671104751,3,nocov,0.06983954864337068,0.026531906682111733,2.632285326499271,0.008481260250510506,0.017849492735025237,0.12184226913557201,0.10399277640054677,14251,auto
originated,0.03678110287463046,3,ridge,0.08641430084631044,0.02567987680775063,3.3650590107281633,0.0007652729009436219,0.03608750964000319,0.1368271679448958,0.10073965830489261,14251,auto
originated,,3,lasso,,,,,,,,14251,auto
originated,0.05490894260194608,3,rf,0.045522597138668526,0.019419628094859944,2.3441539104818188,0.01907030003338577,0.007921333047120185,0.08339144117731004,0.07547010813018985,14251,auto
originated,0.06753315381407582,3,lgbm,0.043075040345535276,0.018728297862170083,2.2999976112374845,0.021448355376855237,0.006415660136786787,0.08006982520746753,0.07365416507068073,14251,auto
originated,0.061916818288939524,3,xgb,0.042052179033075315,0.0199877834916327,2.1038940636253756,0.035387688940002375,0.003332588658058154,0.07838294181879808,0.07505035316073994,14251,auto
originated,0.03540659649496698,3,nnet,0.09367924845050099,0.0265732514156003,3.5253212708289405,0.0004229694867119023,0.041227103655655684,0.14639128293365328,0.1051641792779976,14251,auto
originated,,3,sl,,,,,,,,14251,auto
originated,0.03618780062693471,4,nocov,-0.01205442460373641,0.02963613737102488,-0.40674749387286774,0.6841934540943787,-0.07015311387659484,0.04604426466912202,0.11619737854571686,9196,auto
originated,0.04293019921799262,4,ridge,0.01342034353067826,0.02597184903219518,0.5167265339499763,0.6053470707703932,-0.037466463460225204,0.06440339876712031,0.10186986222734551,9196,auto
originated,,4,lasso,,,,,,,,9196,auto
originated,0.060873252884014455,4,rf,0.002536639516169623,0.02175184027933733,0.11661723714380372,0.9071633776628126,-0.040894579581132996,0.04378260117180662,0.08467718075293962,9196,auto
originated,0.04615376118445803,4,lgbm,0.0016359378441655257,0.024698492991841858,0.06623634262648702,0.94718966306023,-0.04703723071958302,0.04936596868313393,0.09640319940271694,9196,auto
originated,0.04563907016673638,4,xgb,0.00815147077809423,0.025605292588628707,0.3183510108263435,0.7502186943197967,-0.041477578490204815,0.057662855936922434,0.09914043442712725,9196,auto
originated,0.04274739011418234,4,nnet,-0.00428439694184488,0.02647052991856187,-0.16185535216053767,0.8714197629348706,-0.056998897869896925,0.04721310388193025,0.10421200175182718,9196,auto
originated,,4,sl,,,,,,,,9196,auto
securitized,0.02180305254874877,1,nocov,-0.054842502907873666,0.027976787709978357,-1.9602859154667436,0.04996238131911881,-0.10970249345937806,1.8762504510765055e-05,0.10972125596388882,20360,auto
securitized,0.023111393840899153,1,ridge,-0.05138042902755098,0.02553902186104613,-2.0118401286902823,0.04423679231512761,-0.10145353844486063,-0.0014041728825320357,0.1000493655623286,20360,auto
securitized,,1,lasso,,,,,,,,20360,auto
securitized,0.04402878228975232,1,rf,-0.020344962828955423,0.020233613399225248,-1.0055031905341454,0.3146546139335924,-0.05987724006694537,0.019480611247984492,0.07935785131492987,20360,auto
securitized,0.05539966357318589,1,lgbm,-0.03201521551903751,0.019052795595499168,-1.6803421502406946,0.092890764554057,-0.0696259961755179,0.005643970354092601,0.0752699665296105,20360,auto
securitized,0.050879753355394956,1,xgb,-0.03241800577829663,0.01941131558061296,-1.6700571191925855,0.0949080630588544,-0.07042757921155912,0.005738316602145181,0.07616589581370431,20360,auto
securitized,0.022310715806669,1,nnet,-0.05284502927232471,0.02667501723843026,-1.981068233245291,0.047583622157777464,-0.10541994295749699,-0.00056452128123613,0.10485542167626086,20360,auto
securitized,,1,sl,,,,,,,,20360,auto
securitized,0.02616283864137443,2,nocov,0.14010107703801555,0.03205200017684218,4.371055667821931,1.2364726073060693e-05,0.0772898341387086,0.20293115997361533,0.12564132583490673,13410,auto
securitized,0.024919705417275465,2,ridge,0.10997759964256228,0.030956499630310524,3.552649716729588,0.0003813719279996058,0.04921777624921642,0.17064170473795195,0.12142392848873554,13410,auto
securitized,,2,lasso,,,,,,,,13410,auto
securitized,0.07348439487261149,2,rf,0.04512046125239509,0.020948671328032617,2.1538579008596512,0.03125131733767073,0.003499569918940501,0.08676976586146684,0.08327019594252634,13410,auto
securitized,0.04305423443192966,2,lgbm,0.07263519093247037,0.024684815393190545,2.9425049276450017,0.0032556860445164836,0.023040277382122512,0.12179405658944514,0.09875377920732263,13410,auto
securitized,0.042482829291819214,2,xgb,0.08728991364013525,0.02737774309258316,3.1883531577072457,0.0014308566374558282,0.03851759799032227,0.14284543065581112,0.10432783266548885,13410,auto
