depvar,bandwidth,time,method,coef,se,t_stat,pvalue,ci_lower,ci_upper,ci_width,n_obs,seed
approved,0.05,1,rf,0.04691908716667719,0.015139638649610015,3.0990889711813425,0.001941167171398077,0.017417616471008323,0.07642055786234606,0.05900294139133773,28150,456
approved,0.05,1,lgbm,0.045115130055265566,0.015182344402439138,2.971552275419173,0.0029629842704396838,0.015323729609005032,0.0749065305015261,0.05958280089252106,28150,456
approved,0.05,1,xgb,0.04417955362199227,0.015133785845338385,2.919266472612388,0.003508561641976641,0.014517878415386976,0.07384122882859756,0.05932335041321059,28150,456
approved,0.05,1,nnet,0.042703555219225614,0.015317477691249035,2.787897334012271,0.005305135333056382,0.012658566184108211,0.07274854425434302,0.060089978070234806,28150,456
approved,0.05,1,nocov,0.04745740414363923,0.01503767632820113,3.1559000943941906,0.0016000365525052362,0.017983236631418695,0.07693121305970956,0.05894797642829086,28150,789
approved,0.05,1,ridge,0.04255663642512221,0.015172947348145636,2.8047705860076864,0.005035240423386726,0.01283169390230339,0.07228157894794103,0.05944988504563764,28150,789
approved,0.05,1,lasso,0.04599676362994237,0.015168631858171449,3.0323607336520326,0.002426490359548196,0.016266791493179455,0.07572673576670529,0.05945994427352583,28150,789
approved,0.05,1,rf,0.04600065805612205,0.015096634075215372,3.047080417193314,0.0023107588032546342,0.016411798980919778,0.07558951713132432,0.05917771815040454,28150,789
approved,0.05,1,lgbm,0.04465573889131441,0.015181810930215022,2.9413973798369484,0.003267350828787962,0.014882845267693928,0.07453323763885203,0.0596503923711581,28150,789
approved,0.05,1,xgb,0.046085746098537696,0.01516345640857605,3.0392639288014056,0.002371569877701289,0.01635719802618705,0.07570430732786795,0.059347109301680905,28150,789
approved,0.05,1,nnet,0.04253000249418848,0.0152994958177514,2.779830329104218,0.005438730700643316,0.012558082292916255,0.07251646327860241,0.05995838098568615,28150,789
approved,0.05,1,nocov,0.04736859714643511,0.015035334785387721,3.1504850289380237,0.001629996103003361,0.017903334999010916,0.0768338592938593,0.05893052429484839,28150,2024
approved,0.05,1,ridge,0.0427515691927874,0.01516188168989089,2.819674369395179,0.004807240491115055,0.013034519086866068,0.07246861929870874,0.05943410021184267,28150,2024
approved,0.05,1,lasso,0.045893689417101466,0.015164668842650999,3.0263561897259734,0.0024752053292680385,0.016171484648028804,0.07561589418617412,0.05944440953814532,28150,2024
approved,0.05,1,rf,0.04621645798236605,0.015119045457512673,3.056837027988499,0.0022368585712802774,0.016735479857679075,0.07569743610705303,0.05896195624937395,28150,2024
approved,0.05,1,lgbm,0.04410646727103472,0.015165569892946188,2.908329036256628,0.003633657963975034,0.014413179405591277,0.07379975513647816,0.059386575730886876,28150,2024
approved,0.05,1,xgb,0.04587684981251747,0.015100711032512064,3.038058917473747,0.0023810739633048886,0.01628000004784717,0.07547369957718776,0.05919369952934059,28150,2024
approved,0.05,1,nnet,0.04337186137877726,0.015287247439334547,2.837126928892389,0.004552151120028585,0.013485579299069125,0.07325814345848539,0.05977256415941626,28150,2024
