bandwidth,poly_order,method,beta1,se,t_stat,pvalue,ci_lower,ci_upper,ci_width,n_obs,covariates_used,seed
125,1,lasso,37.12616387840164,29.681089978017567,1.250835596196031,0.21099446496358198,-28.94529026203914,94.72310353178125,123.66839379382039,1566,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag",789
125,1,rf,1.8899996248201454,26.28435612453133,0.07190587495716505,0.9426768146153934,-46.76409999877613,52.41496282966281,99.17906282843894,1566,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag",789
125,1,lgbm,15.320573858699506,23.15542383948393,0.6616408304552528,0.5082014335604588,-36.75573316022199,66.47467300503962,103.23040616526161,1566,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag",789
125,1,xgb,14.290118442158555,21.16348517100818,0.6752251969224125,0.4995327004738066,-27.91179162794833,57.11991277825867,85.031704406207,1566,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag",789
125,1,nnet,96.87409374159529,34.44548416300037,2.812388796254826,0.0049175023890083705,27.682973625806603,167.54415421650535,139.86118059069875,1566,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag",789
125,1,sl,16.792536693044415,22.64558775959207,0.7415368005156564,0.4583680271131805,-29.627097486841585,65.16751985517374,94.79461734201533,1566,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag",789
125,1,nocov,258.323369042625,54.78678648564695,4.715067000878042,2.416312244631206e-06,151.4758796273826,365.1708584578674,213.69497883048479,1566,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag",2024
125,1,ridge,41.62276431628403,39.137020862786244,1.0635138648445612,0.28754898096702897,-34.97195274431753,118.34560257568103,153.31755531999855,1566,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag",2024
125,1,lasso,49.55157180584344,29.52525090074206,1.6782777552822778,0.0932928885448801,-20.04273268056711,104.49550400557067,124.53823668613778,1566,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag",2024
125,1,rf,6.2185276867027595,25.054073009515363,0.2482042614125458,0.8039763693699125,-42.65861721367474,53.73153024463353,96.39014745830826,1566,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag",2024
125,1,lgbm,4.415087913124017,21.192622132554355,0.20833136577006786,0.8349702425458742,-35.314128106479075,45.81758848395262,81.1317165904317,1566,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag",2024
125,1,xgb,22.41968263856976,22.066767684526944,1.015993051591796,0.3096326953863606,-24.215853005989842,67.74056447345868,91.95641747944852,1566,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag",2024
125,1,nnet,90.18551430232353,33.1393725693117,2.721400778294719,0.006500589661617654,26.133723286037448,153.6486959719598,127.51497268592234,1566,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag",2024
125,1,sl,9.719346955034979,22.71051817968934,0.42796676315942744,0.6686753186957533,-33.33992092074642,53.01329085927439,86.35321178002081,1566,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag",2024
