bandwidth,poly_order,method,beta1,se,t_stat,pvalue,ci_lower,ci_upper,ci_width,n_obs,covariates_used
75,2,lasso,156.7420841616758,58.74223853682784,2.668302878233147,0.007623549903146585,40.47344779471622,273.0107205286354,232.53727273391917,656,"log_volume, log_users, mkt_ret, log_users_lag"
75,2,rf,124.9659664504591,46.56692926546762,2.6835775607632653,0.007283907772040021,43.88928842916269,213.56441760790463,169.67512917874194,656,"log_volume, log_users, mkt_ret, log_users_lag"
75,2,lgbm,65.37847295929777,28.155294895952753,2.3220667089761418,0.020229343918624607,4.095958655908113,114.44665843301442,110.35069977710631,656,"log_volume, log_users, mkt_ret, log_users_lag"
75,2,xgb,119.93381790621467,31.071740364839716,3.8599002340380606,0.00011343332699372955,58.860675677865075,180.83330995827995,121.97263428041488,656,"log_volume, log_users, mkt_ret, log_users_lag"
75,2,nnet,653.4441742328472,279.5220281226225,2.3377197805183005,0.019401789364256898,77.25674658036428,1201.2972822387794,1124.0405356584151,656,"log_volume, log_users, mkt_ret, log_users_lag"
75,2,sl,71.99720752233983,52.91626958475656,1.3605873597537168,0.17364412837451837,-48.010041470842125,180.40975945909133,228.41980092993344,656,"log_volume, log_users, mkt_ret, log_users_lag"
75,3,nocov,807.3132280878649,379.93033660721073,2.1248980413019822,0.03359512145326449,57.879735178288456,1545.1198304203326,1487.2400952420442,656,"log_volume, log_users, mkt_ret, log_users_lag"
75,3,ridge,452.4339390381318,191.47825340645636,2.3628476392968625,0.018135123632179787,79.30498907959685,811.629316511456,732.324327431859,656,"log_volume, log_users, mkt_ret, log_users_lag"
75,3,lasso,143.63222062740158,96.05651722640758,1.4952886568732957,0.13483912414882934,-59.66811290058328,353.8585413587944,413.52665425937766,656,"log_volume, log_users, mkt_ret, log_users_lag"
75,3,rf,97.29095528798109,112.3493631730905,0.8659680174429673,0.38650770093193143,-119.64267090586398,304.06700032190224,423.7096712277662,656,"log_volume, log_users, mkt_ret, log_users_lag"
75,3,lgbm,67.50592123796514,47.64063530140553,1.4169819695073111,0.156488199111901,-25.8680081533972,142.28150573597196,168.14951388936916,656,"log_volume, log_users, mkt_ret, log_users_lag"
75,3,xgb,85.89110360807263,29.534792058194913,2.9081330059420796,0.003635936593408604,25.831517947174547,142.22727184532113,116.39575389814658,656,"log_volume, log_users, mkt_ret, log_users_lag"
75,3,nnet,613.7992525841416,317.4693096447235,1.9334128809837958,0.05318535571539619,-32.07922820016893,1212.359117572364,1244.438345772533,656,"log_volume, log_users, mkt_ret, log_users_lag"
