dayuserchgw,gt300,mktcap1_300,log_volume,log_users,mkt_ret,log_users_lag
158.0,1,70.03851,13.8918085,6.6346335,0.38,6.4019175
547.0,1,56.593292,14.697813,6.645091,0.31,5.4026775
4.0,1,6.4808655,12.760949,6.6656837,0.02,6.660575
23.0,1,3.60849,11.606698,4.304065,0.02,3.9318256
1086.0,1,51.301178,16.53705,8.590444,0.13,8.364974
99.0,1,44.03543,15.691027,8.533067,0.43,8.513386
99.0,1,44.03543,15.691027,8.533067,0.43,8.513386
99.0,1,44.03543,15.691027,8.533067,0.43,8.513386
99.0,1,44.03543,15.691027,8.533067,0.43,8.513386
99.0,1,44.03543,15.691027,8.533067,0.43,8.513386
40.0,1,19.963043,14.220691,6.3733196,0.1,6.302619
40.0,1,19.963043,14.220691,6.3733196,0.1,6.302619
7.0,1,39.272003,11.747214,3.9702919,0.1,3.8286414
0.0,1,70.17328,12.479815,3.4965076,0.01,3.4965076
0.0,1,70.17328,12.479815,3.4965076,0.01,3.4965076
37.0,1,22.256104,13.606912,5.897154,0.49,5.7899604
37.0,1,22.256104,13.606912,5.897154,0.49,5.7899604
29.0,1,19.932343,14.709995,8.040769,0.28,8.031385
29.0,1,19.932343,14.709995,8.040769,0.28,8.031385
14.0,1,12.080811,13.74062,6.3261495,0.08,6.300786
-302.076,1,71.30023,17.797266,10.868549,0.08,10.885754
-302.076,1,71.30023,17.797266,10.868549,0.08,10.885754
-302.076,1,71.30023,17.797266,10.868549,0.08,10.885754
-302.076,1,71.30023,17.797266,10.868549,0.08,10.885754
-1.0,1,57.575684,17.348028,5.583496,0.34,5.587249
-1.0,1,57.575684,17.348028,5.583496,0.34,5.587249
-1.0,1,57.575684,17.348028,5.583496,0.34,5.587249
994.0,1,24.226746,16.127663,9.444543,0.27,9.362632
99.0,1,42.802307,13.83389,5.0998664,0.27,4.1743875
2.0,1,57.09195,18.195835,5.5529594,0.14,5.5451775
1.0,1,70.10675,7.6014023,4.454347,0.14,4.4426513
-2.0,1,16.992645,18.947773,6.9565454,-0.19,6.9584484
0.0,1,61.079803,7.6014023,4.465908,0.6,4.465908
-16.0,1,20.100006,18.274334,7.083388,-4.22,7.0967216
-302.076,1,18.218506,6.908755,9.875036,-4.22,9.900332
127.0,1,55.52295,14.590704,5.6629605,-4.22,5.081404
2.0,1,31.836609,14.880221,6.0402546,-2.8,6.0354815
5.0,1,41.116577,12.960651,6.1420374,4.03,6.1312265
0.0,1,24.07846,17.277788,0.0,-7.79,0.0
0.0,1,24.07846,17.277788,0.0,-7.79,0.0
9.0,1,0.39938354,14.796527,4.882802,-7.79,4.8121843
765.0,1,24.525787,15.10799,7.5115247,4.74,6.9697905
765.0,1,24.525787,15.10799,7.5115247,4.74,6.9697905
24.0,1,54.836243,12.240923,7.9529667,4.74,7.9444923
1312.0,1,20.484985,15.122455,8.300281,-9.63,6.799056
-8.0,1,74.41266,11.610769,5.8318825,8.98,5.855072
85.0,1,24.822205,15.174182,9.112838,8.98,9.103423
-1.0,1,67.05707,10.498112,3.0445225,8.98,3.0910425
21.0,1,21.026428,14.563285,6.641182,-5.56,6.6133842
21.0,1,21.026428,14.563285,6.641182,-5.56,6.6133842
21.0,1,21.026428,14.563285,6.641182,-5.56,6.6133842
59.0,1,38.841156,15.068792,7.458186,1.31,7.4235682
685.0,1,63.951263,15.16254,7.3975616,1.31,6.853299
25.0,1,71.5668,16.498491,6.2245584,-0.11,6.173786
25.0,1,71.5668,16.498491,6.2245584,-0.11,6.173786
227.0,1,11.7734375,15.932242,9.782054,-0.11,9.7691555
