securitized,diff_log_loan_amount,below_limit,applicant_income_log,log_loan_amount,agency_1,agency_2,agency_3,agency_5,agency_7,agency_9,loan_purpose,occupancy,year
1.0,-0.0669394826751093,1.0,5.572154032177765,5.966146739123692,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2015
0.0,-0.1195832161605316,1.0,6.040254711277414,5.91350300563827,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.158155490946771,1.0,4.997212273764115,5.87493073085203,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.0798428875110168,1.0,5.062595033026967,5.953243334287785,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.1924445644254033,1.0,5.356586274672012,5.840641657373398,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,0.0,1.0,5.262690188904886,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.1442082634659209,1.0,4.59511985013459,5.8888779583328805,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.1304528883974356,1.0,4.976733742420574,5.902633333401366,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
1.0,-0.1751530673153425,1.0,5.41610040220442,5.857933154483459,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
1.0,-0.1637893086650272,1.0,4.976733742420574,5.869296913133774,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
1.0,-0.1982754847361967,1.0,4.465908118654584,5.834810737062605,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
1.0,-0.1837614418519422,1.0,5.003946305945459,5.849324779946859,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.0981920261792135,1.0,5.117993812416755,5.934894195619588,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
1.0,-0.1924445644254033,1.0,5.075173815233827,5.840641657373398,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.180883742024327,1.0,5.093750200806762,5.8522024797744745,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
1.0,-0.195355774632862,1.0,4.499809670330265,5.83773044716594,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2015
0.0,0.0582236602788963,0.0,5.278114659230517,6.091309882077698,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2015
1.0,0.0,1.0,5.2574953720277815,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,0.0627383406334232,0.0,5.799092654460526,6.095824562432225,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.0902868466721003,1.0,4.6443908991413725,5.942799375126701,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,0.0,1.0,4.653960350157523,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,0.0,1.0,5.3471075307174685,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.031671343837651,1.0,4.718498871295094,6.001414877961151,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
1.0,-0.1061601958283908,1.0,4.454347296253507,5.926926025970411,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.1694550462007047,1.0,5.0689042022202315,5.863631175598097,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.0416216746908197,1.0,5.267858159063328,5.991464547107982,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.1751530673153425,1.0,4.532599493153256,5.857933154483459,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.0955500167163752,1.0,5.043425116919247,5.937536205082426,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.1008410343507906,1.0,4.624972813284271,5.932245187448011,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,0.0,1.0,4.804021044733257,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,0.0649880603674386,0.0,5.351858133476067,6.09807428216624,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.195355774632862,1.0,4.3694478524670215,5.83773044716594,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.0643786618134356,1.0,4.983606621708336,5.968707559985366,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.1751530673153425,1.0,5.075173815233827,5.857933154483459,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
1.0,-0.0669394826751093,1.0,4.700480365792417,5.966146739123692,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,0.1003118211978471,0.0,5.209486152841421,6.133398042996649,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.1895418047674413,1.0,4.430816798843313,5.84354441703136,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2015
0.0,-0.0416216746908197,1.0,5.099866427824199,5.991464547107982,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2015
0.0,-0.1637893086650272,1.0,4.31748811353631,5.869296913133774,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2015
0.0,-0.0491499411116107,1.0,4.836281906951478,5.983936280687191,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2015
0.0,0.0,1.0,4.770684624465665,6.0330862217988015,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2015
1.0,0.0,1.0,4.51085950651685,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
1.0,-0.158155490946771,1.0,5.459585514144159,5.87493073085203,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,0.0,1.0,5.950642552587727,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
1.0,-0.0048077015681036,1.0,4.574710978503383,6.028278520230698,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,0.0,1.0,5.0369526024136295,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,0.0,1.0,5.771441123130016,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.0391247944922321,1.0,4.867534450455582,5.993961427306569,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.1442082634659209,1.0,4.23410650459726,5.8888779583328805,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.1751530673153425,1.0,4.465908118654584,5.857933154483459,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.1866474467410768,1.0,4.204692619390966,5.846438775057725,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,0.0915971690954036,0.0,5.389071729816501,6.124683390894205,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.1195832161605316,1.0,5.652489180268651,5.91350300563827,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.0291991546922627,1.0,4.820281565605037,6.003887067106539,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,0.0,1.0,4.382026634673881,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.1637893086650272,1.0,4.584967478670572,5.869296913133774,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.0695068781803556,1.0,4.955827057601261,5.963579343618446,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,0.0,1.0,4.820281565605037,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
