approved,diff_log_loan_amount,below_limit,applicant_income_log,log_loan_amount,agency_1,agency_2,agency_3,agency_5,agency_7,agency_9,loan_purpose,occupancy,year
1.0,-0.1061601958283908,1.0,4.634728988229636,5.926926025970411,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.1061601958283908,1.0,4.6913478822291435,5.926926025970411,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.0291991546922627,1.0,5.0106352940962555,6.003887067106539,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,0.1551779012837881,0.0,6.391917113392602,6.18826412308259,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,0.13443026908954,0.0,5.3981627015177525,6.1675164908883415,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,0.0,1.0,5.267858159063328,6.0330862217988015,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2013
1.0,0.157229184054346,0.0,6.393590753950631,6.190315405853148,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.1866474467410768,1.0,4.736198448394496,5.846438775057725,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.0592766099295403,1.0,4.882801922586371,5.973809611869261,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.0024009615375382,1.0,4.867534450455582,6.030685260261263,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,0.0,1.0,4.6443908991413725,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.0144930073025673,1.0,4.912654885736052,6.018593214496234,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.0120628724492748,1.0,4.812184355372417,6.021023349349527,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.02181904739464,1.0,4.605170185988092,6.0112671744041615,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.1525532353981011,1.0,4.912654885736052,5.8805329864007,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.0824436692110746,1.0,4.330733340286331,5.950642552587727,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.0024009615375382,1.0,4.718498871295094,6.030685260261263,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.1469821903486456,1.0,4.844187086458591,5.886104031450156,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,0.0,1.0,4.890349128221754,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
