originated,diff_log_loan_amount,below_limit,applicant_income_log,log_loan_amount,agency_1,agency_2,agency_3,agency_5,agency_7,agency_9,loan_purpose,occupancy,year
1.0,-0.180883742024327,1.0,4.382026634673881,5.8522024797744745,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.0096386288377683,1.0,5.135798437050262,6.023447592961033,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,0.0,1.0,4.8283137373023015,6.0330862217988015,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2014
1.0,-0.1637893086650272,1.0,5.209486152841421,5.869296913133774,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2014
1.0,-0.0824436692110746,1.0,5.153291594497779,5.950642552587727,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2014
1.0,-0.1008410343507906,1.0,4.48863636973214,5.932245187448011,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2014
1.0,-0.0720808821755278,1.0,5.0106352940962555,5.961005339623274,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2014
1.0,0.026036973782995,0.0,4.8283137373023015,6.059123195581797,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2014
1.0,-0.0193710657559993,1.0,5.8998973535824915,6.013715156042802,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.1034970784089068,1.0,5.459585514144159,5.929589143389895,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.031671343837651,1.0,5.3981627015177525,6.001414877961151,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.13318886821631,1.0,5.043425116919247,5.899897353582492,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.1924445644254033,1.0,4.852030263919617,5.840641657373398,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.1304528883974356,1.0,5.198497031265826,5.902633333401366,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.1141923675256553,1.0,4.663439094112067,5.918893854273146,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.0929149690783699,1.0,4.700480365792417,5.940171252720432,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.0267330621970689,1.0,5.424950017481403,6.0063531596017325,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.0193710657559993,1.0,4.634728988229636,6.013715156042802,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.1034970784089068,1.0,4.90527477843843,5.929589143389895,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.1837614418519422,1.0,5.003946305945459,5.849324779946859,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.1895418047674413,1.0,4.927253685157205,5.84354441703136,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.0876656131922262,1.0,5.303304908059076,5.945420608606575,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,0.0,1.0,4.48863636973214,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.180883742024327,1.0,4.983606621708336,5.8522024797744745,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,0.0,1.0,5.365976015021851,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.1982754847361967,1.0,4.343805421853684,5.834810737062605,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.1837614418519422,1.0,5.135798437050262,5.849324779946859,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.13318886821631,1.0,4.290459441148391,5.899897353582492,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.13318886821631,1.0,5.159055299214529,5.899897353582492,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.1195832161605316,1.0,5.030437921392435,5.91350300563827,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.0669394826751093,1.0,5.420534999272286,5.966146739123692,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.0929149690783699,1.0,4.90527477843843,5.940171252720432,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.0072202479734873,1.0,5.043425116919247,6.025865973825314,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
0.0,-0.0929149690783699,1.0,4.553876891600541,5.940171252720432,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2014
1.0,-0.0955500167163752,1.0,4.442651256490317,5.937536205082426,0.0,0.0,0.0,1.0,0.0,0.0,1,1,2014
1.0,-0.0291991546922627,1.0,5.575949103146316,6.003887067106539,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2014
0.0,-0.0929149690783699,1.0,4.394449154672439,5.940171252720432,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2014
1.0,0.0,1.0,5.641907070938114,6.0330862217988015,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2014
1.0,-0.1751530673153425,1.0,5.820082930352362,5.857933154483459,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2014
1.0,-0.1924445644254033,1.0,4.897839799950911,5.840641657373398,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2014
1.0,0.0,1.0,4.812184355372417,6.0330862217988015,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2014
1.0,-0.1359323541620609,1.0,4.955827057601261,5.8971538676367405,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2014
1.0,-0.0669394826751093,1.0,4.941642422609304,5.966146739123692,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2014
1.0,-0.1061601958283908,1.0,5.241747015059643,5.926926025970411,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2014
